wavelength,intensity
697.155172413793,2
695.3793103448276,2
693.603448275862,3
691.8275862068965,4
690.0517241379309,3
688.2758620689655,4
686.4999999999999,5
684.7241379310344,5
682.9482758620688,6
681.1724137931034,6
679.3965517241379,6
677.6206896551723,5
675.8448275862069,4
674.0689655172413,5
672.2931034482758,5
670.5172413793102,5
668.7413793103448,5
666.9655172413792,5
665.1896551724137,5
663.4137931034483,6
661.6379310344827,6
659.8620689655172,5
658.0862068965516,6
656.3103448275862,5
654.5344827586206,6
652.7586206896551,5
650.9827586206895,4
649.2068965517241,5
647.4310344827586,6
645.655172413793,5
643.8793103448276,6
642.103448275862,5
640.3275862068965,5
638.5517241379309,5
636.7758620689655,4
634.9999999999999,5
633.2241379310344,5
631.4482758620688,5
629.6724137931034,6
627.8965517241379,7
626.1206896551723,9
624.3448275862069,7
622.5689655172413,7
620.7931034482758,6
619.0172413793102,8
617.2413793103448,7
615.4655172413792,9
613.6896551724137,8
611.9137931034483,7
610.1379310344827,8
608.3620689655172,8
606.5862068965516,10
604.8103448275862,8
603.0344827586206,9
601.2586206896551,8
599.4827586206895,11
597.7068965517241,11
595.9310344827585,13
594.155172413793,14
592.3793103448276,9
590.603448275862,8
588.8275862068965,9
587.0517241379309,8
585.2758620689655,9
583.4999999999999,11
581.7241379310344,11
579.9482758620688,15
578.1724137931034,30
576.3965517241379,40
574.6206896551723,26
572.8448275862069,11
571.0689655172413,9
569.2931034482758,9
567.5172413793102,9
565.7413793103448,8
563.9655172413792,12
562.1896551724137,8
560.4137931034481,11
558.6379310344827,8
556.8620689655172,8
555.0862068965516,6
553.3103448275862,6
551.5344827586206,7
549.7586206896551,7
547.9827586206895,8
546.2068965517241,7
544.4310344827585,8
542.655172413793,10
540.8793103448276,7
539.103448275862,6
537.3275862068965,7
535.5517241379309,5
533.7758620689655,6
531.9999999999999,5
530.2241379310344,7
528.4482758620688,7
526.6724137931034,8
524.8965517241379,5
523.1206896551723,5
521.3448275862069,5
519.5689655172413,4
517.7931034482758,3
516.0172413793102,3
514.2413793103448,3
512.4655172413792,3
510.6896551724137,2
508.91379310344814,3
507.1379310344827,3
505.3620689655172,3
503.58620689655163,3
501.81034482758616,4
500.0344827586206,5
498.2586206896551,2
496.48275862068954,3
494.70689655172407,2
492.9310344827585,2
491.155172413793,3
489.37931034482756,3
487.603448275862,2
485.8275862068965,2
484.05172413793093,3
482.27586206896547,1
480.4999999999999,1
478.7241379310344,2
476.94827586206884,4
475.1724137931034,4
473.3965517241378,3
471.6206896551723,5
469.84482758620686,2
468.0689655172413,3
466.2931034482758,2
464.51724137931024,1
462.74137931034477,2
460.9655172413792,2
459.1896551724137,1
457.41379310344814,1
455.6379310344827,1
453.8620689655172,0
452.08620689655163,0
450.31034482758616,1
448.5344827586206,3
446.7586206896551,3
444.98275862068954,2
443.20689655172407,0
441.4310344827585,0
439.655172413793,0
437.87931034482745,1
436.103448275862,3
434.3275862068965,3
432.55172413793093,3
430.77586206896547,1
428.9999999999999,2
427.2241379310344,1
425.44827586206884,2
423.67241379310326,1
421.8965517241379,1
420.1206896551723,0
418.34482758620675,1
416.5689655172414,3
