wavelength,intensity
697.155172413793,1
695.3793103448276,1
693.603448275862,2
691.8275862068965,1
690.0517241379309,2
688.2758620689655,1
686.4999999999999,2
684.7241379310344,2
682.9482758620688,2
681.1724137931034,2
679.3965517241379,2
677.6206896551723,2
675.8448275862069,3
674.0689655172413,2
672.2931034482758,1
670.5172413793102,2
668.7413793103448,3
666.9655172413792,2
665.1896551724137,3
663.4137931034483,2
661.6379310344827,3
659.8620689655172,3
658.0862068965516,4
656.3103448275862,2
654.5344827586206,4
652.7586206896551,5
650.9827586206895,4
649.2068965517241,2
647.4310344827586,2
645.655172413793,2
643.8793103448276,4
642.103448275862,4
640.3275862068965,4
638.5517241379309,5
636.7758620689655,6
634.9999999999999,5
633.2241379310344,5
631.4482758620688,5
629.6724137931034,7
627.8965517241379,6
626.1206896551723,6
624.3448275862069,6
622.5689655172413,7
620.7931034482758,8
619.0172413793102,9
617.2413793103448,11
615.4655172413792,9
613.6896551724137,9
611.9137931034483,10
610.1379310344827,13
608.3620689655172,14
606.5862068965516,16
604.8103448275862,18
603.0344827586206,19
601.2586206896551,18
599.4827586206895,20
597.7068965517241,24
595.9310344827585,26
594.155172413793,23
592.3793103448276,21
590.603448275862,19
588.8275862068965,21
587.0517241379309,21
585.2758620689655,23
583.4999999999999,26
581.7241379310344,30
579.9482758620688,29
578.1724137931034,29
576.3965517241379,28
574.6206896551723,30
572.8448275862069,30
571.0689655172413,32
569.2931034482758,35
567.5172413793102,47
565.7413793103448,90
563.9655172413792,200
562.1896551724137,144
560.4137931034481,161
558.6379310344827,161
556.8620689655172,163
555.0862068965516,161
553.3103448275862,161
551.5344827586206,163
549.7586206896551,164
547.9827586206895,170
546.2068965517241,174
544.4310344827585,176
542.655172413793,179
540.8793103448276,177
539.103448275862,174
537.3275862068965,168
535.5517241379309,171
533.7758620689655,172
531.9999999999999,176
530.2241379310344,177
528.4482758620688,179
526.6724137931034,182
524.8965517241379,183
523.1206896551723,183
521.3448275862069,181
519.5689655172413,176
517.7931034482758,173
516.0172413793102,168
514.2413793103448,169
512.4655172413792,170
510.6896551724137,174
508.91379310344814,172
507.1379310344827,174
505.3620689655172,166
503.58620689655163,165
501.81034482758616,167
500.0344827586206,166
498.2586206896551,165
496.48275862068954,163
494.70689655172407,161
492.9310344827585,152
491.155172413793,147
489.37931034482756,139
487.603448275862,132
485.8275862068965,121
484.05172413793093,56
482.27586206896547,35
480.4999999999999,15
478.7241379310344,10
476.94827586206884,7
475.1724137931034,4
473.3965517241378,5
471.6206896551723,7
469.84482758620686,6
468.0689655172413,4
466.2931034482758,4
464.51724137931024,6
462.74137931034477,2
460.9655172413792,2
459.1896551724137,3
457.41379310344814,3
455.6379310344827,3
453.8620689655172,2
452.08620689655163,1
450.31034482758616,1
448.5344827586206,1
446.7586206896551,2
444.98275862068954,2
443.20689655172407,2
441.4310344827585,2
439.655172413793,1
437.87931034482745,0
436.103448275862,0
434.3275862068965,1
432.55172413793093,1
430.77586206896547,1
428.9999999999999,4
427.2241379310344,2
425.44827586206884,2
423.67241379310326,2
421.8965517241379,3
420.1206896551723,1
418.34482758620675,1
416.5689655172414,2
,
