wavelength,intensity
697.155172413793,1
695.3793103448276,1
693.603448275862,0
691.8275862068965,1
690.0517241379309,0
688.2758620689655,0
686.4999999999999,1
684.7241379310344,4
682.9482758620688,6
681.1724137931034,5
679.3965517241379,4
677.6206896551723,5
675.8448275862069,5
674.0689655172413,3
672.2931034482758,1
670.5172413793102,1
668.7413793103448,1
666.9655172413792,1
665.1896551724137,1
663.4137931034483,1
661.6379310344827,1
659.8620689655172,1
658.0862068965516,2
656.3103448275862,1
654.5344827586206,2
652.7586206896551,2
650.9827586206895,2
649.2068965517241,2
647.4310344827586,3
645.655172413793,2
643.8793103448276,1
642.103448275862,2
640.3275862068965,2
638.5517241379309,2
636.7758620689655,1
634.9999999999999,1
633.2241379310344,2
631.4482758620688,2
629.6724137931034,4
627.8965517241379,7
626.1206896551723,11
624.3448275862069,8
622.5689655172413,8
620.7931034482758,7
619.0172413793102,4
617.2413793103448,5
615.4655172413792,5
613.6896551724137,4
611.9137931034483,3
610.1379310344827,3
608.3620689655172,3
606.5862068965516,2
604.8103448275862,2
603.0344827586206,3
601.2586206896551,3
599.4827586206895,4
597.7068965517241,5
595.9310344827585,9
594.155172413793,11
592.3793103448276,22
590.603448275862,53
588.8275862068965,104
587.0517241379309,149
585.2758620689655,135
583.4999999999999,94
581.7241379310344,51
579.9482758620688,29
578.1724137931034,26
576.3965517241379,18
574.6206896551723,19
572.8448275862069,12
571.0689655172413,12
569.2931034482758,12
567.5172413793102,10
565.7413793103448,8
563.9655172413792,9
562.1896551724137,8
560.4137931034481,9
558.6379310344827,4
556.8620689655172,4
555.0862068965516,4
553.3103448275862,5
551.5344827586206,4
549.7586206896551,4
547.9827586206895,10
546.2068965517241,22
544.4310344827585,21
542.655172413793,10
540.8793103448276,13
539.103448275862,15
537.3275862068965,15
535.5517241379309,8
533.7758620689655,2
531.9999999999999,1
530.2241379310344,1
528.4482758620688,1
526.6724137931034,1
524.8965517241379,1
523.1206896551723,2
521.3448275862069,2
519.5689655172413,2
517.7931034482758,3
516.0172413793102,2
514.2413793103448,0
512.4655172413792,0
510.6896551724137,0
508.91379310344814,1
507.1379310344827,3
505.3620689655172,3
503.58620689655163,1
501.81034482758616,0
500.0344827586206,1
498.2586206896551,0
496.48275862068954,0
494.70689655172407,1
492.9310344827585,0
491.155172413793,0
489.37931034482756,0
487.603448275862,1
485.8275862068965,0
484.05172413793093,0
482.27586206896547,1
480.4999999999999,0
478.7241379310344,1
476.94827586206884,2
475.1724137931034,2
473.3965517241378,0
471.6206896551723,1
469.84482758620686,0
468.0689655172413,0
466.2931034482758,0
464.51724137931024,0
462.74137931034477,0
460.9655172413792,0
459.1896551724137,1
457.41379310344814,1
455.6379310344827,1
453.8620689655172,1
452.08620689655163,1
450.31034482758616,1
448.5344827586206,1
446.7586206896551,1
444.98275862068954,1
443.20689655172407,1
441.4310344827585,1
439.655172413793,1
437.87931034482745,0
436.103448275862,0
434.3275862068965,0
432.55172413793093,3
430.77586206896547,3
428.9999999999999,3
427.2241379310344,3
425.44827586206884,0
423.67241379310326,0
421.8965517241379,0
420.1206896551723,1
418.34482758620675,1
416.5689655172414,1
,
,
