wavelength,intensity
697.155172413793,1.0
695.3793103448276,2.125
693.603448275862,3.5
691.8275862068965,4.5
690.0517241379309,3.625
688.2758620689655,3.875
686.4999999999999,4.375
684.7241379310344,3.625
682.9482758620688,3.0
681.1724137931034,3.75
679.3965517241379,4.125
677.6206896551723,4.375
675.8448275862069,4.375
674.0689655172413,4.625
672.2931034482758,3.625
670.5172413793102,3.625
668.7413793103448,4.125
666.9655172413792,4.375
665.1896551724137,4.375
663.4137931034483,4.0
661.6379310344827,4.75
659.8620689655172,5.25
658.0862068965516,4.75
656.3103448275862,4.625
654.5344827586206,4.125
652.7586206896551,4.25
650.9827586206895,3.75
649.2068965517241,3.75
647.4310344827586,3.625
645.655172413793,4.5
643.8793103448276,3.875
642.103448275862,3.75
640.3275862068965,4.625
638.5517241379309,4.5
636.7758620689655,4.125
634.9999999999999,4.125
633.2241379310344,5.75
631.4482758620688,7.875
629.6724137931034,9.25
627.8965517241379,11.5
626.1206896551723,11.25
624.3448275862069,9.125
622.5689655172413,6.875
620.7931034482758,5.625
619.0172413793102,5.625
617.2413793103448,5.875
615.4655172413792,5.875
613.6896551724137,5.875
611.9137931034483,6.75
610.1379310344827,7.125
608.3620689655172,6.75
606.5862068965516,8.75
604.8103448275862,9.125
603.0344827586206,8.75
601.2586206896551,8.375
599.4827586206895,9.0
597.7068965517241,9.5
595.9310344827585,10.0
594.155172413793,11.0
592.3793103448276,12.875
590.603448275862,13.125
588.8275862068965,13.875
587.0517241379309,15.5
585.2758620689655,14.625
583.4999999999999,14.125
581.7241379310344,14.0
579.9482758620688,15.0
578.1724137931034,14.75
576.3965517241379,14.5
574.6206896551723,16.0
572.8448275862069,16.75
571.0689655172413,15.5
569.2931034482758,16.625
567.5172413793102,15.125
565.7413793103448,14.75
563.9655172413792,16.375
562.1896551724137,16.75
560.4137931034481,17.125
558.6379310344827,18.75
556.8620689655172,17.25
555.0862068965516,15.875
553.3103448275862,16.75
551.5344827586206,17.875
549.7586206896551,16.125
547.9827586206895,16.375
546.2068965517241,15.5
544.4310344827585,15.5
542.655172413793,16.625
540.8793103448276,17.0
539.103448275862,15.75
537.3275862068965,16.125
535.5517241379309,17.0
533.7758620689655,16.125
531.9999999999999,15.625
530.2241379310344,15.125
528.4482758620688,16.0
526.6724137931034,17.125
524.8965517241379,17.0
523.1206896551723,16.125
521.3448275862069,15.625
519.5689655172413,13.5
517.7931034482758,11.5
516.0172413793102,10.875
514.2413793103448,10.875
512.4655172413792,12.125
510.6896551724137,12.0
508.91379310344814,11.75
507.1379310344827,11.25
505.3620689655172,17.0
503.58620689655163,24.0
501.81034482758616,27.75
500.0344827586206,25.5
498.2586206896551,18.125
496.48275862068954,10.875
494.70689655172407,8.75
492.9310344827585,6.75
491.155172413793,5.375
489.37931034482756,5.375
487.603448275862,4.375
485.8275862068965,4.125
484.05172413793093,5.0
482.27586206896547,5.25
480.4999999999999,4.875
478.7241379310344,5.375
476.94827586206884,5.625
475.1724137931034,4.5
473.3965517241378,3.5
471.6206896551723,5.0
469.84482758620686,4.25
468.0689655172413,3.75
466.2931034482758,3.875
464.51724137931024,2.875
462.74137931034477,2.875
460.9655172413792,2.375
459.1896551724137,2.125
457.41379310344814,2.375
455.6379310344827,2.625
453.8620689655172,2.25
452.08620689655163,2.375
450.31034482758616,3.0
448.5344827586206,2.75
446.7586206896551,3.0
444.98275862068954,2.25
443.20689655172407,1.875
441.4310344827585,1.75
439.655172413793,1.375
437.87931034482745,1.875
436.103448275862,2.25
434.3275862068965,1.25
432.55172413793093,1.375
430.77586206896547,2.0
428.9999999999999,2.625
427.2241379310344,2.125
425.44827586206884,2.875
423.67241379310326,2.875
421.8965517241379,1.5
420.1206896551723,1.625
418.34482758620675,2.25
416.5689655172414,2.25
